account,date,payee,amount,notes,category
Checking,2025-01-25,Summit Home Loans,-1507.94,Mortgage payment,Mortgage/Rent
Credit Card,2025-01-25,Old Navy,-16.48,,Clothing
Checking,2025-01-25,Internal Transfer,-297.13,Buffer savings transfer,2 Month Buffer
Credit Card,2025-01-25,Local Pizza Co,-53.65,,Restaurants
Checking,2025-01-25,Local Food Bank,-138.66,Donation,Gifts/Donations
Checking,2025-01-26,Costco,-104.62,,Uncategorized
Checking,2025-01-26,Local Pizza Co,-25.06,,Restaurants
Checking,2025-01-27,Riverside Family Clinic,-61.67,Copay,Medical
Checking,2025-01-27,Internal Transfer,-14.68,Transfer between own accounts,Uncategorized
Credit Card,2025-01-27,Spotify,-17.66,,Subscriptions
Credit Card,2025-01-27,Spotify,-22.09,,Subscriptions
Savings,2025-01-28,Target,-20.87,,Spending Money
Savings,2025-01-28,Shell,-58.45,,Fuel & Parking
Credit Card,2025-01-28,Netflix,-18.35,,Subscriptions
Savings,2025-01-30,Nordstrom Rack,-27.83,,Clothing
Savings,2025-01-30,Local Food Bank,-150.80,Donation,Gifts/Donations
Credit Card,2025-01-30,Sunshine Daycare,-283.04,Weekly childcare,Kids/Childcare
Checking,2025-02-01,Whole Foods Market,-164.25,AplPay WHOLE FOODS,Groceries
Credit Card,2025-02-01,Michaels,-19.60,AplPay MICHAELS,Spending Money
Checking,2025-02-02,Nordstrom Rack,-32.68,,Clothing
Checking,2025-02-02,AMC Theatres,-85.66,,Fun Money/Entertainment
Savings,2025-02-02,AMC Theatres,-48.91,,Fun Money/Entertainment
Savings,2025-02-04,Old Navy,-22.41,,Clothing
Credit Card,2025-02-04,Local Bowling Alley,-135.28,,Fun Money/Entertainment
Checking,2025-02-04,Bright Smile Dental,-82.97,Cleaning,Medical
Credit Card,2025-02-05,Internal Transfer,-455.52,Buffer savings transfer,2 Month Buffer
Savings,2025-02-05,Acme Corp Payroll,1710.63,Direct deposit,Income/Paycheck
Checking,2025-02-05,Steam,-47.97,Game purchase,Fun Money/Entertainment
Credit Card,2025-02-06,Bright Smile Dental,-54.10,Cleaning,Medical
Credit Card,2025-02-06,Etsy,-113.97,Online order,Spending Money
Checking,2025-02-07,Shell,-50.74,,Fuel & Parking
Checking,2025-02-08,Steam,-16.10,Game purchase,Fun Money/Entertainment
Savings,2025-02-08,Starbucks,-61.33,AplPay STARBUCKS,Restaurants
Credit Card,2025-02-09,Ace Hardware,-298.17,,Home Improvement
Checking,2025-02-09,Internal Transfer,-436.84,Buffer savings transfer,2 Month Buffer
Checking,2025-02-10,Nordstrom Rack,-189.05,,Clothing
Checking,2025-02-10,Nordstrom Rack,-135.21,,Clothing
Savings,2025-02-10,Barnes & Noble,-28.33,,Spending Money
Credit Card,2025-02-11,GuardHealth Insurance,-235.01,Premium payment,Insurance
Credit Card,2025-02-11,Shell,-11.51,,Fuel & Parking
Checking,2025-02-11,Etsy,-117.52,Online order,Spending Money
Checking,2025-02-12,Target,-83.18,,Spending Money
Credit Card,2025-02-12,Ace Hardware,-587.44,,Home Improvement
Checking,2025-02-12,Ace Hardware,-273.77,,Home Improvement
Savings,2025-02-15,Ace Hardware,-131.65,,Home Improvement
Savings,2025-02-17,Internal Transfer,-151.35,Buffer savings transfer,2 Month Buffer
Savings,2025-02-17,Barnes & Noble,-38.95,,Spending Money
Checking,2025-02-17,Petco,-92.39,,Pets
Credit Card,2025-02-18,Walmart,-17.81,,Uncategorized
Credit Card,2025-02-20,GuardHealth Insurance,-221.63,Premium payment,Insurance
Savings,2025-02-21,iCloud Storage,-14.51,,Subscriptions
Savings,2025-02-21,Michaels,-66.47,AplPay MICHAELS,Spending Money
Checking,2025-02-21,GuardHealth Insurance,-196.80,Premium payment,Insurance
Checking,2025-02-21,Acme Corp Payroll,1646.81,Direct deposit,Income/Paycheck
Credit Card,2025-02-22,Metro Gas Co,-202.62,Monthly utility bill,Utilities
Credit Card,2025-02-22,Nordstrom Rack,-69.48,,Clothing
Credit Card,2025-02-22,Etsy,-65.15,Online order,Spending Money
Credit Card,2025-02-23,Old Navy,-167.01,,Clothing
Checking,2025-02-23,Internal Transfer,-104.52,Buffer savings transfer,2 Month Buffer
Checking,2025-02-24,Downtown Pharmacy,-283.24,,Medical
Credit Card,2025-02-24,Barnes & Noble,-23.14,,Spending Money
Checking,2025-02-24,Nordstrom Rack,-114.17,,Clothing
Checking,2025-02-25,Midas Auto Service,-360.32,,Auto Maintenance
Credit Card,2025-02-25,Statewide Insurance,-177.52,Auto + home bundle,Insurance
Savings,2025-02-26,Red Cross,-115.31,Donation,Gifts/Donations
Credit Card,2025-02-27,iCloud Storage,-14.51,,Subscriptions
Checking,2025-02-28,Spotify,-24.82,,Subscriptions
Savings,2025-03-01,GuardHealth Insurance,-161.90,Premium payment,Insurance
Checking,2025-03-01,Target,-57.25,,Spending Money
Checking,2025-03-02,Chevron,-70.13,,Fuel & Parking
Savings,2025-03-02,Petco,-73.60,,Pets
Savings,2025-03-02,Riverside Family Clinic,-131.79,Copay,Medical
Checking,2025-03-03,Metro Gas Co,-225.77,Monthly utility bill,Utilities
Savings,2025-03-03,Riverside Animal Hospital,-112.85,Checkup,Pets
Savings,2025-03-03,Acme Corp Payroll,2642.39,Direct deposit,Income/Paycheck
Checking,2025-03-03,Local Pizza Co,-28.13,,Restaurants
Credit Card,2025-03-04,Petco,-85.73,,Pets
Savings,2025-03-05,Local Food Bank,-24.11,Donation,Gifts/Donations
Savings,2025-03-05,Chipotle,-21.52,,Restaurants
Checking,2025-03-06,Riverside Family Clinic,-369.97,Copay,Medical
Credit Card,2025-03-06,Trader Joe's,-175.65,,Groceries
Savings,2025-03-06,Netflix,-9.01,,Subscriptions
Savings,2025-03-07,Meridian Property Mgmt,-1709.48,Monthly rent,Mortgage/Rent
Checking,2025-03-08,Ace Hardware,-548.41,,Home Improvement
Savings,2025-03-08,Downtown Pharmacy,-257.20,,Medical
Credit Card,2025-03-08,Internal Transfer,-171.38,Buffer savings transfer,2 Month Buffer
Checking,2025-03-09,Delta Air Lines,-339.87,,Travel
Checking,2025-03-10,Summit Home Loans,-2147.72,Mortgage payment,Mortgage/Rent
Checking,2025-03-11,Metro Gas Co,-81.80,Monthly utility bill,Utilities
Checking,2025-03-11,Midas Auto Service,-225.68,,Auto Maintenance
Credit Card,2025-03-11,Ace Hardware,-206.72,,Home Improvement
Checking,2025-03-11,Netflix,-7.06,,Subscriptions
Credit Card,2025-03-12,Chevron,-69.31,,Fuel & Parking
Savings,2025-03-14,Chevron,-61.08,,Fuel & Parking
Savings,2025-03-15,City Water & Power,-143.54,Monthly utility bill,Utilities
Savings,2025-03-16,Meridian Property Mgmt,-1981.28,Monthly rent,Mortgage/Rent
Credit Card,2025-03-16,Delta Air Lines,-183.82,,Travel
Checking,2025-03-20,Lowe's,-210.49,,Home Improvement
Savings,2025-03-20,Acme Corp Payroll,2810.65,Direct deposit,Income/Paycheck
Checking,2025-03-20,Red Cross,-197.94,Donation,Gifts/Donations
Checking,2025-03-21,Internal Transfer,-297.41,Buffer savings transfer,2 Month Buffer
Credit Card,2025-03-21,Costco,-204.36,,Uncategorized
Savings,2025-03-21,Little Learners Preschool,-245.25,Tuition,Kids/Childcare
Checking,2025-03-22,Riverside Family Clinic,-209.27,Copay,Medical
Credit Card,2025-03-22,Statewide Insurance,-191.27,Auto + home bundle,Insurance
Savings,2025-03-22,Summit Home Loans,-1568.29,Mortgage payment,Mortgage/Rent
Savings,2025-03-22,Red Cross,-161.67,Donation,Gifts/Donations
Checking,2025-03-23,Acme Corp Payroll,1530.86,Direct deposit,Income/Paycheck
Savings,2025-03-24,Lowe's,-182.74,,Home Improvement
Checking,2025-03-24,Red Cross,-32.59,Donation,Gifts/Donations
Checking,2025-03-24,Jiffy Lube,-270.71,Oil change,Auto Maintenance
Credit Card,2025-03-25,Netflix,-6.25,,Subscriptions
Savings,2025-03-26,Chick fil A,-29.10,,Restaurants
Credit Card,2025-03-26,Jiffy Lube,-393.64,Oil change,Auto Maintenance
Credit Card,2025-03-26,Nordstrom Rack,-92.46,,Clothing
Credit Card,2025-03-27,Meridian Property Mgmt,-2060.85,Monthly rent,Mortgage/Rent
Checking,2025-03-28,Lowe's,-46.60,,Home Improvement
Checking,2025-03-29,Costco,-33.08,,Uncategorized
Credit Card,2025-03-31,Petco,-134.39,,Pets
Credit Card,2025-03-31,Riverside Animal Hospital,-179.71,Checkup,Pets
Checking,2025-04-01,Whole Foods Market,-110.33,AplPay WHOLE FOODS,Groceries
Credit Card,2025-04-03,Petco,-29.96,,Pets
Checking,2025-04-04,Walmart,-68.96,,Uncategorized
Credit Card,2025-04-04,Old Navy,-142.54,,Clothing
Checking,2025-04-05,Sunshine Daycare,-171.74,Weekly childcare,Kids/Childcare
Savings,2025-04-06,Petco,-159.91,,Pets
Credit Card,2025-04-07,Internal Transfer,-85.14,Buffer savings transfer,2 Month Buffer
Credit Card,2025-04-07,Summit Home Loans,-1697.43,Mortgage payment,Mortgage/Rent
Savings,2025-04-08,Midas Auto Service,-505.32,,Auto Maintenance
Savings,2025-04-08,iCloud Storage,-22.08,,Subscriptions
Checking,2025-04-09,Netflix,-21.72,,Subscriptions
Credit Card,2025-04-10,Internal Transfer,-350.11,Buffer savings transfer,2 Month Buffer
Credit Card,2025-04-11,Local Pizza Co,-11.89,,Restaurants
Savings,2025-04-11,Nordstrom Rack,-159.99,,Clothing
Credit Card,2025-04-11,Starbucks,-75.56,AplPay STARBUCKS,Restaurants
Checking,2025-04-12,Whole Foods Market,-150.87,AplPay WHOLE FOODS,Groceries
Savings,2025-04-12,Shell,-65.26,,Fuel & Parking
Credit Card,2025-04-13,Barnes & Noble,-103.04,,Spending Money
Checking,2025-04-13,Kroger,-45.16,,Groceries
Credit Card,2025-04-13,Fiber Internet Co,-197.15,Internet service,Utilities
Checking,2025-04-14,City Water & Power,-247.54,Monthly utility bill,Utilities
Checking,2025-04-14,Barnes & Noble,-100.21,,Spending Money
Savings,2025-04-14,AMC Theatres,-52.61,,Fun Money/Entertainment
Savings,2025-04-14,Delta Air Lines,-229.23,,Travel
Credit Card,2025-04-15,AMC Theatres,-147.09,,Fun Money/Entertainment
Checking,2025-04-15,Netflix,-7.11,,Subscriptions
Checking,2025-04-16,Chick fil A,-27.92,,Restaurants
Checking,2025-04-16,Sunshine Daycare,-198.61,Weekly childcare,Kids/Childcare
Credit Card,2025-04-17,Marriott Hotels,-190.84,,Travel
Credit Card,2025-04-17,Amazon,-124.23,Online order,Uncategorized
Checking,2025-04-17,Red Cross,-32.42,Donation,Gifts/Donations
Checking,2025-04-19,Acme Corp Payroll,2216.08,Direct deposit,Income/Paycheck
Credit Card,2025-04-19,Downtown Pharmacy,-366.39,,Medical
Savings,2025-04-20,Meridian Property Mgmt,-1975.83,Monthly rent,Mortgage/Rent
Checking,2025-04-21,Whole Foods Market,-39.12,AplPay WHOLE FOODS,Groceries
Checking,2025-04-21,Internal Transfer,-228.85,Transfer between own accounts,Uncategorized
Checking,2025-04-21,Trader Joe's,-51.03,,Groceries
Credit Card,2025-04-22,Fiber Internet Co,-247.75,Internet service,Utilities
Credit Card,2025-04-22,Little Learners Preschool,-320.63,Tuition,Kids/Childcare
Credit Card,2025-04-22,Internal Transfer,-160.25,Transfer between own accounts,Uncategorized
Savings,2025-04-22,Midas Auto Service,-417.30,,Auto Maintenance
Credit Card,2025-04-22,Old Navy,-197.22,,Clothing
Savings,2025-04-23,Chevron,-59.60,,Fuel & Parking
Savings,2025-04-23,Venmo,-50.96,Payment to friend,Uncategorized
Checking,2025-04-23,Red Cross,-101.96,Donation,Gifts/Donations
Credit Card,2025-04-23,Jiffy Lube,-419.69,Oil change,Auto Maintenance
Credit Card,2025-04-23,Statewide Insurance,-257.53,Auto + home bundle,Insurance
Checking,2025-04-24,Red Cross,-26.47,Donation,Gifts/Donations
Savings,2025-04-24,Little Learners Preschool,-240.71,Tuition,Kids/Childcare
Savings,2025-04-25,Summit Home Loans,-1463.10,Mortgage payment,Mortgage/Rent
Savings,2025-04-26,Trader Joe's,-91.23,,Groceries
Savings,2025-04-27,Shell,-68.63,,Fuel & Parking
Credit Card,2025-04-29,Spotify,-10.76,,Subscriptions
Checking,2025-04-30,Amazon,-149.45,Online order,Uncategorized
Savings,2025-05-01,Sunshine Daycare,-318.23,Weekly childcare,Kids/Childcare
Savings,2025-05-01,Chevron,-32.09,,Fuel & Parking
Savings,2025-05-02,Metro Gas Co,-89.59,Monthly utility bill,Utilities
Savings,2025-05-03,Amazon,-284.26,Online order,Uncategorized
Savings,2025-05-04,Red Cross,-136.13,Donation,Gifts/Donations
Credit Card,2025-05-04,Chipotle,-86.70,,Restaurants
Checking,2025-05-04,GuardHealth Insurance,-145.26,Premium payment,Insurance
Checking,2025-05-05,Michaels,-22.57,AplPay MICHAELS,Spending Money
Checking,2025-05-06,Meridian Property Mgmt,-2192.79,Monthly rent,Mortgage/Rent
Checking,2025-05-06,Amazon,-33.76,Online order,Uncategorized
Savings,2025-05-06,Starbucks,-11.56,AplPay STARBUCKS,Restaurants
Checking,2025-05-06,Kroger,-126.11,,Groceries
Savings,2025-05-07,Nordstrom Rack,-87.07,,Clothing
Credit Card,2025-05-08,AMC Theatres,-50.80,,Fun Money/Entertainment
Credit Card,2025-05-08,Metro Gas Co,-71.73,Monthly utility bill,Utilities
Credit Card,2025-05-09,Safeway,-116.11,,Groceries
Savings,2025-05-12,GuardHealth Insurance,-177.46,Premium payment,Insurance
Checking,2025-05-13,Chipotle,-72.05,,Restaurants
Savings,2025-05-13,Internal Transfer,-441.97,Buffer savings transfer,2 Month Buffer
Credit Card,2025-05-13,Meridian Property Mgmt,-1588.56,Monthly rent,Mortgage/Rent
Credit Card,2025-05-14,Meridian Property Mgmt,-1710.41,Monthly rent,Mortgage/Rent
Credit Card,2025-05-15,Fiber Internet Co,-107.00,Internet service,Utilities
Savings,2025-05-15,Starbucks,-89.49,AplPay STARBUCKS,Restaurants
Credit Card,2025-05-16,Acme Corp Payroll,3161.96,Direct deposit,Income/Paycheck
Checking,2025-05-16,Safeway,-65.25,,Groceries
Credit Card,2025-05-17,Spotify,-10.62,,Subscriptions
Checking,2025-05-17,Summit Home Loans,-1640.42,Mortgage payment,Mortgage/Rent
Savings,2025-05-17,Petco,-193.55,,Pets
Credit Card,2025-05-18,Red Cross,-129.84,Donation,Gifts/Donations
Credit Card,2025-05-20,Fiber Internet Co,-52.89,Internet service,Utilities
Savings,2025-05-20,Local Food Bank,-78.58,Donation,Gifts/Donations
Credit Card,2025-05-21,Midas Auto Service,-499.38,,Auto Maintenance
Checking,2025-05-22,Marriott Hotels,-294.06,,Travel
Savings,2025-05-23,iCloud Storage,-21.34,,Subscriptions
Checking,2025-05-23,Local Bowling Alley,-95.07,,Fun Money/Entertainment
Savings,2025-05-23,Jiffy Lube,-289.79,Oil change,Auto Maintenance
Credit Card,2025-05-25,Metro Gas Co,-257.04,Monthly utility bill,Utilities
Credit Card,2025-05-26,Local Food Bank,-83.36,Donation,Gifts/Donations
Checking,2025-05-26,Netflix,-24.88,,Subscriptions
Checking,2025-05-26,Circle K,-59.85,AplPay CIRCLE K,Fuel & Parking
Credit Card,2025-05-26,Meridian Property Mgmt,-2108.16,Monthly rent,Mortgage/Rent
Savings,2025-05-27,Meridian Property Mgmt,-2092.05,Monthly rent,Mortgage/Rent
Credit Card,2025-05-27,Petco,-174.05,,Pets
Checking,2025-05-28,Lowe's,-496.86,,Home Improvement
Checking,2025-05-28,Etsy,-62.10,Online order,Spending Money
Savings,2025-05-29,Summit Home Loans,-2123.83,Mortgage payment,Mortgage/Rent
Savings,2025-05-30,AMC Theatres,-108.70,,Fun Money/Entertainment
Checking,2025-05-31,Little Learners Preschool,-154.54,Tuition,Kids/Childcare
Credit Card,2025-05-31,Steam,-81.85,Game purchase,Fun Money/Entertainment
Credit Card,2025-06-01,Ace Hardware,-167.18,,Home Improvement
Checking,2025-06-01,Jiffy Lube,-94.04,Oil change,Auto Maintenance
Credit Card,2025-06-02,Circle K,-63.98,AplPay CIRCLE K,Fuel & Parking
Savings,2025-06-02,GuardHealth Insurance,-149.49,Premium payment,Insurance
Credit Card,2025-06-02,Nordstrom Rack,-42.64,,Clothing
Savings,2025-06-02,Internal Transfer,-374.85,Buffer savings transfer,2 Month Buffer
Savings,2025-06-03,Steam,-132.40,Game purchase,Fun Money/Entertainment
Checking,2025-06-04,Nordstrom Rack,-69.20,,Clothing
Credit Card,2025-06-04,Downtown Pharmacy,-327.19,,Medical
Credit Card,2025-06-04,AMC Theatres,-40.93,,Fun Money/Entertainment
Checking,2025-06-04,Acme Corp Payroll,2911.80,Direct deposit,Income/Paycheck
Checking,2025-06-04,Netflix,-18.08,,Subscriptions
Credit Card,2025-06-04,Chick fil A,-45.82,,Restaurants
Credit Card,2025-06-05,Marriott Hotels,-857.95,,Travel
Savings,2025-06-06,Kroger,-122.23,,Groceries
Checking,2025-06-07,Red Cross,-18.21,Donation,Gifts/Donations
Checking,2025-06-08,City Water & Power,-137.02,Monthly utility bill,Utilities
Credit Card,2025-06-08,Sunshine Daycare,-253.95,Weekly childcare,Kids/Childcare
Savings,2025-06-08,Chipotle,-46.12,,Restaurants
Credit Card,2025-06-08,Fiber Internet Co,-243.51,Internet service,Utilities
Credit Card,2025-06-09,Michaels,-50.39,AplPay MICHAELS,Spending Money
Checking,2025-06-09,Delta Air Lines,-776.66,,Travel
Savings,2025-06-09,Netflix,-12.91,,Subscriptions
Savings,2025-06-10,Enterprise Rent-A-Car,-726.89,,Travel
Checking,2025-06-12,Delta Air Lines,-342.86,,Travel
Savings,2025-06-12,GuardHealth Insurance,-184.54,Premium payment,Insurance
Savings,2025-06-12,Sunshine Daycare,-86.78,Weekly childcare,Kids/Childcare
Savings,2025-06-12,Ace Hardware,-440.37,,Home Improvement
Checking,2025-06-13,Starbucks,-50.32,AplPay STARBUCKS,Restaurants
Credit Card,2025-06-13,Etsy,-5.91,Online order,Spending Money
Savings,2025-06-13,Statewide Insurance,-267.06,Auto + home bundle,Insurance
Savings,2025-06-13,AMC Theatres,-20.03,,Fun Money/Entertainment
Savings,2025-06-13,Netflix,-12.34,,Subscriptions
Savings,2025-06-14,Michaels,-118.67,AplPay MICHAELS,Spending Money
Credit Card,2025-06-14,Petco,-89.20,,Pets
Checking,2025-06-14,Internal Transfer,-203.42,Buffer savings transfer,2 Month Buffer
Savings,2025-06-14,City Water & Power,-114.25,Monthly utility bill,Utilities
Checking,2025-06-15,Local Pizza Co,-68.57,,Restaurants
Checking,2025-06-15,Nordstrom Rack,-86.97,,Clothing
Credit Card,2025-06-16,Whole Foods Market,-103.87,AplPay WHOLE FOODS,Groceries
Checking,2025-06-16,Target,-118.28,,Spending Money
Checking,2025-06-16,Walmart,-28.76,,Uncategorized
Checking,2025-06-16,Local Food Bank,-117.33,Donation,Gifts/Donations
Savings,2025-06-17,Starbucks,-24.17,AplPay STARBUCKS,Restaurants
Checking,2025-06-17,Internal Transfer,-173.00,Transfer between own accounts,Uncategorized
Savings,2025-06-18,Internal Transfer,-193.15,Transfer between own accounts,Uncategorized
Savings,2025-06-19,Starbucks,-88.56,AplPay STARBUCKS,Restaurants
Savings,2025-06-20,Riverside Animal Hospital,-103.87,Checkup,Pets
Credit Card,2025-06-20,Fiber Internet Co,-179.76,Internet service,Utilities
Checking,2025-06-20,City Water & Power,-218.24,Monthly utility bill,Utilities
Checking,2025-06-20,Nordstrom Rack,-193.31,,Clothing
Credit Card,2025-06-21,GuardHealth Insurance,-196.86,Premium payment,Insurance
Checking,2025-06-21,GuardHealth Insurance,-117.11,Premium payment,Insurance
Credit Card,2025-06-21,GuardHealth Insurance,-143.29,Premium payment,Insurance
Checking,2025-06-22,Nordstrom Rack,-29.57,,Clothing
Checking,2025-06-23,Jiffy Lube,-533.87,Oil change,Auto Maintenance
Credit Card,2025-06-23,Spotify,-20.98,,Subscriptions
Checking,2025-06-24,Acme Corp Payroll,3165.32,Direct deposit,Income/Paycheck
Checking,2025-06-24,Starbucks,-67.62,AplPay STARBUCKS,Restaurants
Savings,2025-06-24,Whole Foods Market,-23.92,AplPay WHOLE FOODS,Groceries
Savings,2025-06-24,Meridian Property Mgmt,-2124.68,Monthly rent,Mortgage/Rent
Checking,2025-06-24,Venmo,-80.06,Payment to friend,Uncategorized
Checking,2025-06-25,Summit Home Loans,-1962.34,Mortgage payment,Mortgage/Rent
Savings,2025-06-27,City Water & Power,-154.32,Monthly utility bill,Utilities
Checking,2025-06-29,Local Food Bank,-219.07,Donation,Gifts/Donations
Savings,2025-06-29,City Water & Power,-247.96,Monthly utility bill,Utilities
Checking,2025-06-30,GuardHealth Insurance,-132.45,Premium payment,Insurance
Savings,2025-06-30,Midas Auto Service,-77.53,,Auto Maintenance
Checking,2025-07-02,Bright Smile Dental,-345.02,Cleaning,Medical
Savings,2025-07-03,Barnes & Noble,-109.38,,Spending Money
Savings,2025-07-03,Nordstrom Rack,-155.41,,Clothing
Credit Card,2025-07-05,Chipotle,-36.70,,Restaurants
Savings,2025-07-05,Ace Hardware,-241.07,,Home Improvement
Credit Card,2025-07-05,Michaels,-100.51,AplPay MICHAELS,Spending Money
Savings,2025-07-07,Metro Gas Co,-199.23,Monthly utility bill,Utilities
Savings,2025-07-08,Lowe's,-73.37,,Home Improvement
Credit Card,2025-07-08,Riverside Animal Hospital,-64.48,Checkup,Pets
Checking,2025-07-08,Sunshine Daycare,-369.45,Weekly childcare,Kids/Childcare
Credit Card,2025-07-09,Venmo,-227.32,Payment to friend,Uncategorized
Checking,2025-07-09,Jiffy Lube,-659.80,Oil change,Auto Maintenance
Checking,2025-07-09,Delta Air Lines,-270.35,,Travel
Checking,2025-07-10,Kroger,-148.07,,Groceries
Checking,2025-07-10,Spotify,-17.03,,Subscriptions
Credit Card,2025-07-12,Summit Home Loans,-1695.64,Mortgage payment,Mortgage/Rent
Checking,2025-07-12,Target,-77.06,,Spending Money
Savings,2025-07-13,Riverside Family Clinic,-88.03,Copay,Medical
Checking,2025-07-13,Bright Smile Dental,-338.11,Cleaning,Medical
Savings,2025-07-14,Chick fil A,-64.10,,Restaurants
Savings,2025-07-15,Michaels,-87.12,AplPay MICHAELS,Spending Money
Checking,2025-07-15,Bright Smile Dental,-264.55,Cleaning,Medical
Credit Card,2025-07-15,City Water & Power,-250.48,Monthly utility bill,Utilities
Checking,2025-07-16,Riverside Animal Hospital,-197.98,Checkup,Pets
Savings,2025-07-16,Meridian Property Mgmt,-1871.40,Monthly rent,Mortgage/Rent
Credit Card,2025-07-17,Starbucks,-12.25,AplPay STARBUCKS,Restaurants
Savings,2025-07-18,Little Learners Preschool,-386.34,Tuition,Kids/Childcare
Credit Card,2025-07-19,Enterprise Rent-A-Car,-518.49,,Travel
Checking,2025-07-20,AMC Theatres,-47.77,,Fun Money/Entertainment
Checking,2025-07-20,GuardHealth Insurance,-136.03,Premium payment,Insurance
Savings,2025-07-20,Netflix,-8.64,,Subscriptions
Checking,2025-07-20,Riverside Animal Hospital,-150.14,Checkup,Pets
Credit Card,2025-07-20,GuardHealth Insurance,-251.75,Premium payment,Insurance
Credit Card,2025-07-23,Lowe's,-382.79,,Home Improvement
Credit Card,2025-07-23,Delta Air Lines,-586.23,,Travel
Credit Card,2025-07-24,Costco,-34.76,,Uncategorized
Checking,2025-07-24,Chevron,-70.55,,Fuel & Parking
Savings,2025-07-25,Safeway,-50.43,,Groceries
Savings,2025-07-26,Local Bowling Alley,-117.79,,Fun Money/Entertainment
Savings,2025-07-27,Chipotle,-31.22,,Restaurants
Checking,2025-07-28,Meridian Property Mgmt,-1811.44,Monthly rent,Mortgage/Rent
Savings,2025-07-28,Sunshine Daycare,-351.56,Weekly childcare,Kids/Childcare
Checking,2025-07-29,Chick fil A,-66.77,,Restaurants
Savings,2025-07-29,Riverside Family Clinic,-348.21,Copay,Medical
Credit Card,2025-07-31,Acme Corp Payroll,2910.14,Direct deposit,Income/Paycheck
Checking,2025-07-31,Chipotle,-70.76,,Restaurants
Savings,2025-07-31,Local Pizza Co,-18.94,,Restaurants
Credit Card,2025-07-31,Michaels,-26.57,AplPay MICHAELS,Spending Money
Credit Card,2025-08-01,Local Bowling Alley,-43.36,,Fun Money/Entertainment
Checking,2025-08-01,Safeway,-25.12,,Groceries
Credit Card,2025-08-01,Etsy,-118.55,Online order,Spending Money
Credit Card,2025-08-02,Riverside Family Clinic,-144.84,Copay,Medical
Savings,2025-08-03,Barnes & Noble,-18.18,,Spending Money
Credit Card,2025-08-03,Venmo,-117.74,Payment to friend,Uncategorized
Checking,2025-08-04,Riverside Family Clinic,-74.44,Copay,Medical
