account,date,payee,amount,notes,category
Checking,2026-04-16,Red Cross,-98.73,Donation,Gifts/Donations
Checking,2026-04-16,Little Learners Preschool,-198.65,Tuition,Kids/Childcare
Credit Card,2026-04-17,Internal Transfer,-262.54,Buffer savings transfer,2 Month Buffer
Credit Card,2026-04-23,Summit Home Loans,-2131.12,Mortgage payment,Mortgage/Rent
Credit Card,2026-04-24,Riverside Animal Hospital,-70.22,Checkup,Pets
Credit Card,2026-04-29,Netflix,-11.53,,Subscriptions
Savings,2026-05-13,Steam,-123.64,Game purchase,Fun Money/Entertainment
Savings,2026-05-23,Target,-37.09,,Spending Money
Savings,2026-05-25,Old Navy,-66.48,,Clothing
Credit Card,2026-05-29,Safeway,-35.07,,Groceries
Checking,2026-05-30,Circle K,-12.64,AplPay CIRCLE K,Fuel & Parking
Credit Card,2026-06-03,Nordstrom Rack,-47.45,,Clothing
Credit Card,2026-06-21,Chipotle,-48.34,,Restaurants
Savings,2026-06-26,Bright Smile Dental,-357.73,Cleaning,Medical
